ID,案件名稱,案件地址,物件經度,物件緯度,屋主姓名,屋主戶籍地址,戶籍地經度,戶籍地緯度,預算(萬),總坪數,最新狀態,最後拜訪紀錄,負責同仁,網頁連結,樓層,總樓層,型態,騰本連結,案件數量
936640,永和頂溪捷運站自主都更地坪大透天,新北市永和區文化路,121.516123,25.012123,需查閱,新北市永和區文化路,121.516123,25.012123,4980,37.18,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=936640,1,3,透天,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F936640?HostId=2&A10OnLineId=936640,1
42576,永和福和稀有金店 純一樓正馬路,新北市永和區林森路,121.520456,25.008456,需查閱,新北市永和區林森路,121.520456,25.008456,1998,33.07,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=42576,1,7,店面,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F42576?HostId=2&A10OnLineId=42576,1
3165753,樂華低價黑土美寓,新北市永和區保平路,121.512345,25.005345,需查閱,新北市永和區保平路,121.512345,25.005345,1110,19.28,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3165753,3,5,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3165753?HostId=2&A10OnLineId=3165753,1
3426547,福和橋免千萬全新套房,新北市永和區成功路一段,121.528789,25.002789,需查閱,新北市永和區成功路一段,121.528789,25.002789,938,11.84,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3426547,3,15,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3426547?HostId=2&A10OnLineId=3426547,1
1268591,頂溪黃金店面,新北市永和區信義路,121.515222,25.014222,需查閱,新北市永和區信義路,121.515222,25.014222,2398,21.86,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1268591,1,5,公寓/店面,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F1268591?HostId=2&A10OnLineId=1268591,1
3423293,正福和路金店面,新北市永和區福和路,121.521321,25.006321,需查閱,新北市永和區福和路,121.521321,25.006321,4980,39.57,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3423293,1,4,店面,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3423293?HostId=2&A10OnLineId=3423293,1
1180818,捷運信義路金店面,新北市永和區信義路,121.515333,25.014333,需查閱,新北市永和區信義路,121.515333,25.014333,2398,21.86,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1180818,1,5,公寓/店面,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F1180818?HostId=2&A10OnLineId=1180818,1
3424910,正中和路金店面,新北市永和區中和路,121.512444,25.001444,需查閱,新北市永和區中和路,121.512444,25.001444,3888,33.85,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3424910,1,5,公寓/店面,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3424910?HostId=2&A10OnLineId=3424910,1
1001730,樂華黃金兩室車位,新北市永和區中山路一段,121.513555,25.010555,需查閱,新北市永和區中山路一段,121.513555,25.010555,1980,29.47,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1001730,4,12,電梯/辦公,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F1001730?HostId=2&A10OnLineId=1001730,1
3423756,頂溪標隔三樓,新北市永和區保福路二段,121.511666,25.011666,需查閱,新北市永和區保福路二段,121.511666,25.011666,1790,31.14,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3423756,3,4,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3423756?HostId=2&A10OnLineId=3423756,1
3422680,H3專仁愛特區稀有高樓四房車,新北市永和區仁愛路,121.510777,25.013777,需查閱,新北市永和區仁愛路,121.510777,25.013777,4138,59.68,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3422680,12,18,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3422680?HostId=2&A10OnLineId=3422680,1
3422689,頂溪站旁｜新時代優質社區二房,新北市永和區中山路一段,121.513888,25.010888,需查閱,新北市永和區中山路一段,121.513888,25.010888,1998,23.63,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3422689,7,15,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3422689?HostId=2&A10OnLineId=3422689,1
772304,獨賣-秀朗國小方正三樓美寓,新北市永和區得和路,121.521999,25.002999,需查閱,新北市永和區得和路,121.521999,25.002999,1550,24.98,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=772304,3,5,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F772304?HostId=2&A10OnLineId=772304,1
68789,❤️華國大廈三房(永安市場/公園),新北市永和區得和路,121.522111,25.003111,需查閱,新北市永和區得和路,121.522111,25.003111,1968,25.24,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=68789,6,7,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F68789?HostId=2&A10OnLineId=68789,1
1812787,正竹林市場超級金店面,新北市永和區竹林路,121.522222,25.009222,需查閱,新北市永和區竹林路,121.522222,25.009222,2398,21.53,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1812787,1,4,公寓/店面,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F1812787?HostId=2&A10OnLineId=1812787,1
2079585,秀朗國小x漂亮美妝雅寓,新北市永和區民有街,121.523333,24.996333,需查閱,新北市永和區民有街,121.523333,24.996333,1598,23.5,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2079585,3,4,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2079585?HostId=2&A10OnLineId=2079585,1
2079552,頂溪全新電梯3房,新北市永和區仁愛路,121.510444,25.013444,需查閱,新北市永和區仁愛路,121.510444,25.013444,3798,40.75,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2079552,10,12,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2079552?HostId=2&A10OnLineId=2079552,1
3422662,頂溪全新樓中樓,新北市永和區仁愛路,121.510555,25.013555,需查閱,新北市永和區仁愛路,121.510555,25.013555,3998,38.09,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3422662,12,12,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3422662?HostId=2&A10OnLineId=3422662,1
2411044,四號公園新邨溫馨質感兩房,新北市永和區秀朗路一段,121.515666,25.006666,需查閱,新北市永和區秀朗路一段,121.515666,25.006666,1928,21.95,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2411044,5,14,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2411044?HostId=2&A10OnLineId=2411044,1
2565192,永和低總價2樓美寓,新北市永和區民享街,121.516777,25.001777,需查閱,新北市永和區民享街,121.516777,25.001777,1488,23.4,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2565192,2,4,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2565192?HostId=2&A10OnLineId=2565192,1
3411044,群義🌟漢寶三房車,新北市永和區成功路一段,121.528999,25.002999,需查閱,新北市永和區成功路一段,121.528999,25.002999,2780,41.24,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3411044,5,11,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3411044?HostId=2&A10OnLineId=3411044,1
3410672,水築館溫馨四房,新北市永和區環河西路二段,121.510123,25.009123,需查閱,新北市永和區環河西路二段,121.510123,25.009123,2968,47.67,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3410672,2,22,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3410672?HostId=2&A10OnLineId=3410672,1
3410934,專任🏆中正路靜巷一樓🏆,新北市永和區中正路,121.518234,24.996234,需查閱,新北市永和區中正路,121.518234,24.996234,2168,36.66,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3410934,1,5,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3410934?HostId=2&A10OnLineId=3410934,1
3410907,🍎保平路活巷住辦1樓,新北市永和區保平路,121.512456,25.005456,需查閱,新北市永和區保平路,121.512456,25.005456,2388,33.2,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3410907,1,7,公寓/辦公,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3410907?HostId=2&A10OnLineId=3410907,1
1443176,LA0813 頂溪挑高店面,新北市永和區環河東路一段,121.520567,25.011567,需查閱,新北市永和區環河東路一段,121.520567,25.011567,1880,27.66,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1443176,1,14,店面,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F1443176?HostId=2&A10OnLineId=1443176,1
3410989,全新交屋~~詠和心2房車,新北市永和區中正路,121.518345,24.996345,需查閱,新北市永和區中正路,121.518345,24.996345,3150,41.46,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3410989,7,15,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F3410989?HostId=2&A10OnLineId=3410989,1
2324003,皇邸邊間稀有三房,新北市永和區保平路,121.512567,25.005567,需查閱,新北市永和區保平路,121.512567,25.005567,2980,40.1,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2324003,4,7,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2324003?HostId=2&A10OnLineId=2324003,1
1628846,台北福第兩房,新北市永和區中正路,121.518456,24.996456,需查閱,新北市永和區中正路,121.518456,24.996456,2298,34.65,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1628846,7,11,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F1628846?HostId=2&A10OnLineId=1628846,1
2151046,福和國中收租好宅,新北市永和區永利路,121.523567,25.004567,需查閱,新北市永和區永利路,121.523567,25.004567,1220,20.44,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2151046,3,4,公寓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F2151046?HostId=2&A10OnLineId=2151046,1
439375,頂溪裝潢電梯3房,新北市永和區竹林路,121.522333,25.009333,需查閱,新北市永和區竹林路,121.522333,25.009333,1748,21.88,🔴尚未拜訪,暫無紀錄,未分配,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=439375,3,7,電梯,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F439375?HostId=2&A10OnLineId=439375,1
